compound	BLK_1	PB_PM1	PB_PM10	PB_PM11	PB_PM12	PB_PM2	PB_PM3	PB_PM4	PB_PM5	PB_PM6	PB_PM7	PB_PM8	PB_PM9	PM1_D0	PM1_D10	PM1_D30	PM1_D50	PM10_D0	PM10_D10	PM10_D30	PM10_D50	PM11_D0	PM11_D10	PM11_D30	PM11_D50	PM12_D0	PM12_D10	PM2_D0	PM2_D10	PM2_D30	PM2_D50	PM3_D0	PM3_D10	PM3_D30	PM3_D50	PM4_D0	PM4_D10	PM4_D30	PM4_D50	PM5_D0	PM5_D10	PM5_D30	PM5_D50	PM6_D0	PM6_D10	PM6_D30	PM6_D50	PM7_D0	PM7_D10	PM7_D30	PM7_D50	PM8_D0	PM8_D10	PM8_D30	PM8_D50	PM9_D0	PM9_D10	PM9_D30	PM9_D50	QC2	QC3	QC4	QC5	QC6	QC7
ft167	37611	NA	NA	NA	NA	NA	NA	47297	586549	NA	NA	NA	41449	NA	NA	NA	NA	34868	36344	40433	36699	NA	33991	35019	32136	38221	37753	NA	NA	NA	NA	NA	38703	NA	NA	43145	NA	86655	43797	44474	37441	30229	36097	31194	33475	38877	35951	63280	36985	36994	37597	41131	NA	31847	47781	48133	40695	39952	39199	NA	NA	NA	NA	49480	NA
ft179	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	55088	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	119635	28918	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	138011	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	161035	NA	NA	NA	NA	NA	NA	NA
ft168	117646	61242	56281	55083	58390	147242	114878	49804	52477	46669	NA	NA	124632	NA	56911	61112	NA	52621	NA	NA	60235	164262	88112	146191	182372	50282	157789	NA	79292	100862	NA	NA	NA	51816	56436	53090	NA	49641	NA	51724	NA	NA	NA	49334	NA	168347	58017	59094	NA	48115	55450	124951	48741	54662	53772	54374	63228	57195	NA	53931	60940	59728	NA	47897	49133
ft164	NA	80951	240017	NA	NA	121109	182942	137918	183891	93603	165639	96114	92215	83941	104033	NA	NA	72039	88655	NA	104649	77111	117669	90082	85133	NA	NA	NA	98088	NA	85638	87984	NA	NA	87324	98393	NA	87100	91852	84112	95575	NA	94285	86510	84408	94828	NA	85447	93750	NA	93834	107459	NA	93582	105886	110933	104131	92163	88868	123503	NA	89717	NA	NA	142997
ft178	NA	NA	NA	37522	NA	NA	NA	NA	NA	NA	14778	NA	NA	NA	NA	64819	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	54703	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	36783	NA	NA
ft161	841177	755507	708141	674375	701301	741599	589290	640344	752190	583555	794442	630536	693778	763813	803326	774018	498042	724562	967715	892337	899805	919266	712150	769220	780063	820726	819580	845795	760889	646136	748283	775836	722463	682859	765332	753212	769299	749875	764643	743577	796084	610794	806056	759819	784011	874997	723627	819052	892976	677148	859950	867842	530290	723050	803291	802226	903499	853631	834361	773706	801454	822204	793097	633128	693604
ft174	NA	500658	NA	59189	47212	NA	107100	NA	NA	77380	NA	419670	NA	73811	NA	NA	331468	NA	NA	NA	NA	130676	90201	NA	NA	NA	NA	52265	153374	NA	73110	NA	NA	NA	NA	NA	NA	104030	NA	82460	NA	NA	NA	NA	NA	143929	75838	NA	610892	NA	NA	121675	NA	NA	109061	93951	NA	NA	NA	69940	NA	52877	83863	NA	NA
ft166	22137	29917	18365	21067	18975	21725	NA	19172	25672	NA	29425	NA	20094	17817	23151	20873	11479	18260	NA	NA	NA	24886	NA	23697	16756	NA	21275	20775	21852	NA	NA	16974	20670	17841	19701	22218	23000	16648	17422	NA	21910	NA	20058	19930	NA	NA	20066	23958	21523	NA	NA	20035	NA	21758	18261	17149	16011	22997	21120	NA	NA	NA	NA	18314	NA
ft184	292040	264143	246070	236662	252001	263332	207535	219544	253741	201441	278048	221522	238201	252007	280419	278783	172769	274564	383552	327759	321677	328185	251934	266697	292648	299987	290724	299054	290687	224025	254463	269907	265641	235320	280696	271971	258540	275928	265090	261922	281956	216587	299166	250256	305157	313287	262336	301884	324212	231692	300130	310101	187310	262313	292597	285138	332059	310271	322367	283913	297242	275739	273312	215784	252592
ft219	NA	38633	31814	36251	NA	41896	NA	34964	31508	27399	32333	NA	29482	NA	NA	28396	39234	NA	NA	NA	136327	NA	99031	NA	NA	19718	NA	NA	33155	NA	NA	NA	NA	NA	NA	34803	NA	50949	NA	44727	38806	47951	39321	NA	43831	30411	59620	53323	26083	53539	43241	NA	NA	NA	NA	115575	NA	NA	NA	NA	18336	NA	NA	NA	NA
